failure_category,failure_count,avg_repair_cost,avg_days_in_shop,repeat_repair_count,pct_of_total,repeat_rate_pct
Engine,208,1935.9414423076923,4.346153846153846,58,19.170506912442395,27.884615384615383
Suspension,205,534.6732682926829,1.4585365853658536,63,18.89400921658986,30.73170731707317
Brakes,178,372.68612359550565,1.2359550561797752,21,16.40552995391705,11.797752808988765
Electrical,150,480.83066666666673,1.3733333333333333,38,13.824884792626728,25.333333333333332
Transmission,127,2078.382047244095,4.74015748031496,29,11.705069124423963,22.834645669291337
HVAC,111,442.01378378378377,1.3603603603603605,10,10.23041474654378,9.00900900900901
Cooling System,106,415.4925471698113,1.2924528301886793,12,9.76958525345622,11.320754716981131
